"date","preparation","days_until_race","distance","duration","pace","speed","speed_ma7","dist_ma7","dist_ma14","dist_ma42","N","N2"
2013-01-20,"Wien 2013",-84,0,,,,,0,0,0,85,0
2013-01-21,"Wien 2013",-83,6.68,32.5,4.86526946107784,12.3323076923077,12.3323076923077,3.34,3.34,3.34,85,6.68
2013-01-22,"Wien 2013",-82,6.79,32.67,4.81148748159058,12.4701561065197,12.4017947548541,4.49,4.49,4.49,85,13.47
2013-01-23,"Wien 2013",-81,6.8,32.12,4.72352941176471,12.7023661270237,12.5026277756115,5.0675,5.0675,5.0675,85,20.27
2013-01-24,"Wien 2013",-80,6.82,33,4.83870967741935,12.4,12.4767908826742,5.418,5.418,5.418,85,27.09
2013-01-25,"Wien 2013",-79,6.92,33.3,4.8121387283237,12.4684684684685,12.475097524653,5.66833333333333,5.66833333333333,5.66833333333333,85,34.01
2013-01-26,"Wien 2013",-78,13.97,66.42,4.75447387258411,12.6196928635953,12.5171983350953,6.85428571428571,6.85428571428571,6.85428571428571,85,47.98
2013-01-27,"Wien 2013",-77,0,,,,,5.9975,5.9975,5.9975,85,47.98
2013-01-28,"Wien 2013",-76,0,,,,,5.9975,5.33111111111111,5.33111111111111,85,47.98
2013-01-29,"Wien 2013",-75,6.83,32.2,4.71449487554905,12.7267080745342,12.5433058249761,6.01625,5.481,5.481,85,54.81
2013-01-30,"Wien 2013",-74,11.1,54.5,4.90990990990991,12.2201834862385,12.4888883168592,6.555,5.99181818181818,5.99181818181818,85,65.91
2013-01-31,"Wien 2013",-73,0,,,,,5.705,5.4925,5.4925,85,65.91
2013-02-01,"Wien 2013",-72,0,,,,,4.8525,5.07,5.07,85,65.91
2013-02-02,"Wien 2013",-71,25.57,122.32,4.78373093468909,12.5425114453891,12.5173918778087,7.18375,6.53428571428571,6.53428571428571,85,91.48
2013-02-03,"Wien 2013",-70,8.66,38.22,4.41339491916859,13.5949764521193,12.6287639015837,6.52,6.676,6.676,85,100.14
2013-02-04,"Wien 2013",-69,7.6,36,4.73684210526316,12.6666666666667,12.6263352504077,7.47,7.18266666666667,6.73375,85,107.74
2013-02-05,"Wien 2013",-68,0,,,,,7.47,6.73733333333333,6.33764705882353,85,107.74
2013-02-06,"Wien 2013",-67,6.82,34.17,5.01026392961877,11.9754170324846,12.5932306906906,7.46875,6.73933333333333,6.36444444444444,85,114.56
2013-02-07,"Wien 2013",-66,6.79,32.78,4.82768777614138,12.4283099450885,12.5902943810403,6.93,6.73866666666667,6.38684210526316,85,121.35
2013-02-08,"Wien 2013",-65,0,,,,,6.93,6.284,6.0675,85,121.35
2013-02-09,"Wien 2013",-64,16.26,78.92,4.85362853628536,12.3618854536239,12.5442760170876,8.9625,6.90666666666667,6.55285714285714,85,137.61
2013-02-10,"Wien 2013",-63,0,,,,,5.76625,5.97533333333333,6.255,85,137.61
2013-02-11,"Wien 2013",-62,0,,,,,4.68375,5.97533333333333,5.98304347826087,85,137.61
2013-02-12,"Wien 2013",-61,0,,,,,3.73375,5.97533333333333,5.73375,85,137.61
2013-02-13,"Wien 2013",-60,0,,,,,3.73375,5.52,5.5044,85,137.61
2013-02-14,"Wien 2013",-59,6.94,34.77,5.01008645533141,11.9758412424504,12.4864317081022,3.74875,5.24266666666667,5.55961538461538,85,144.55
2013-02-15,"Wien 2013",-58,6.72,31.48,4.68452380952381,12.8081321473952,12.5463799533545,3.74,5.69066666666667,5.60259259259259,85,151.27
2013-02-16,"Wien 2013",-57,25.11,116.05,4.62166467542812,12.9823352003447,12.6764830629022,6.87875,7.36466666666667,6.29928571428571,85,176.38
2013-02-17,"Wien 2013",-56,6,22.5,3.75,16,12.8222387641664,5.59625,6.06,6.28896551724138,85,182.38
2013-02-18,"Wien 2013",-55,0,,,,,5.59625,5.48266666666667,6.07933333333333,85,182.38
2013-02-19,"Wien 2013",-54,6.78,33.23,4.90117994100295,12.2419500451399,12.7884385974506,6.44375,5.428,6.10193548387097,85,189.16
2013-02-20,"Wien 2013",-53,6.81,34.07,5.00293685756241,11.9929556794834,12.7900055843283,7.295,5.882,6.1240625,85,195.97
2013-02-21,"Wien 2013",-52,0,,,,,7.295,5.42733333333333,5.93848484848485,85,195.97
2013-02-22,"Wien 2013",-51,0,,,,,6.4275,4.97466666666667,5.76382352941176,85,195.97
2013-02-23,"Wien 2013",-50,0,,,,,5.5875,4.97466666666667,5.59914285714286,85,195.97
2013-02-24,"Wien 2013",-49,8.31,74.32,8.94344163658243,6.70882669537137,12.2102553952918,3.4875,4.44466666666667,5.67444444444444,85,204.28
2013-02-25,"Wien 2013",-48,0,,,,,2.7375,4.44466666666667,5.52108108108108,85,204.28
2013-02-26,"Wien 2013",-47,0,,,,,2.7375,4.44466666666667,5.37578947368421,85,204.28
2013-02-27,"Wien 2013",-46,0,,,,,1.89,4.44466666666667,5.23794871794872,85,204.28
2013-02-28,"Wien 2013",-45,0,,,,,1.03875,4.44466666666667,5.107,85,204.28
2013-03-01,"Wien 2013",-44,0,,,,,1.03875,3.982,4.98243902439024,85,204.28
2013-03-02,"Wien 2013",-43,0,,,,,1.03875,3.534,4.86380952380952,85,204.28
2013-03-03,"Wien 2013",-42,0,,,,,1.03875,1.86,4.75069767441861,85,204.28
2013-03-04,"Wien 2013",-41,0,,,,,0,1.46,4.75069767441861,85,204.28
2013-03-05,"Wien 2013",-40,0,,,,,0,1.46,4.5953488372093,85,204.28
2013-03-06,"Wien 2013",-39,0,,,,,0,1.008,4.43744186046512,85,204.28
2013-03-07,"Wien 2013",-38,0,,,,,0,0.554,4.2793023255814,85,204.28
2013-03-08,"Wien 2013",-37,0,,,,,0,0.554,4.1206976744186,85,204.28
2013-03-09,"Wien 2013",-36,0,,,,,0,0.554,3.95976744186047,85,204.28
2013-03-10,"Wien 2013",-35,0,,,,,0,0.554,3.63488372093023,85,204.28
2013-03-11,"Wien 2013",-34,0,,,,,0,0,3.63488372093023,85,204.28
2013-03-12,"Wien 2013",-33,0,,,,,0,0,3.63488372093023,85,204.28
2013-03-13,"Wien 2013",-32,6.79,31.17,4.59057437407953,13.0702598652551,12.256184140222,0.84875,0.452666666666667,3.63395348837209,85,211.07
2013-03-14,"Wien 2013",-31,6.79,31.68,4.66568483063328,12.8598484848485,12.3386348374058,1.6975,0.905333333333333,3.53372093023256,85,217.86
2013-03-15,"Wien 2013",-30,0,,,,,1.6975,0.905333333333333,3.53372093023256,85,217.86
2013-03-16,"Wien 2013",-29,10.04,46.27,4.60856573705179,13.0192349254376,12.3866343540535,2.9525,1.57466666666667,3.76720930232558,85,227.9
2013-03-17,"Wien 2013",-28,0,,,,,2.9525,1.57466666666667,3.17255813953488,85,227.9
2013-03-18,"Wien 2013",-27,0,,,,,2.9525,1.57466666666667,2.97116279069767,85,227.9
2013-03-19,"Wien 2013",-26,6.76,31.53,4.66420118343195,12.8639391056137,12.1853394307552,3.7975,2.02533333333333,2.95162790697674,85,234.66
2013-03-20,"Wien 2013",-25,0,,,,,3.7975,2.02533333333333,2.95162790697674,85,234.66
2013-03-21,"Wien 2013",-24,6.8,31.67,4.65735294117647,12.8828544363751,11.8782158461707,3.79875,2.47866666666667,2.95116279069767,85,241.46
2013-03-22,"Wien 2013",-23,6.72,30.45,4.53125,13.2413793103448,11.9916407972083,3.79,2.92666666666667,2.94953488372093,85,248.18
2013-03-23,"Wien 2013",-22,21.5,98.6,4.58604651162791,13.0831643002028,12.3098988485729,6.4775,4.36,3.44953488372093,85,269.68
2013-03-24,"Wien 2013",-21,10.4,49.45,4.75480769230769,12.618806875632,12.9663309471814,6.5225,5.05333333333333,3.31325581395349,85,280.08
2013-03-25,"Wien 2013",-20,5.5,25.93,4.71454545454545,12.7265715387582,12.9391620557567,7.21,5.42,3.44116279069767,85,285.58
2013-03-26,"Wien 2013",-19,8.41,37.78,4.4922711058264,13.3562731604023,12.9923138163838,8.26125,5.98066666666667,3.63674418604651,85,293.99
2013-03-27,"Wien 2013",-18,8.6,39.18,4.55581395348837,13.1699846860643,13.0091525035488,8.49125,6.554,3.83674418604651,85,302.59
2013-03-28,"Wien 2013",-17,11.1,55.2,4.97297297297297,12.0652173913043,12.8889951307046,9.87875,6.84133333333333,4.09488372093023,85,313.69
2013-03-29,"Wien 2013",-16,0,,,,,9.02875,6.38866666666667,3.93348837209302,85,313.69
2013-03-30,"Wien 2013",-15,0,,,,,8.18875,6.38866666666667,3.77720930232558,85,313.69
2013-03-31,"Wien 2013",-14,29.9,148.97,4.98227424749164,12.0426931596966,12.6416371339192,9.23875,7.71266666666667,3.88860465116279,85,343.59
2013-04-01,"Wien 2013",-13,0,,,,,7.93875,7.71266666666667,3.74906976744186,85,343.59
2013-04-02,"Wien 2013",-12,0,,,,,7.25125,7.71266666666667,3.74906976744186,85,343.59
2013-04-03,"Wien 2013",-11,8.22,36.83,4.48053527980535,13.3912571273418,12.6622065532027,7.2275,7.81,3.78255813953488,85,351.81
2013-04-04,"Wien 2013",-10,6.81,30.28,4.44640234948605,13.4940554821664,12.6241393128805,7.00375,8.264,3.78255813953488,85,358.62
2013-04-05,"Wien 2013",-9,0,,,,,5.61625,7.81066666666667,3.78255813953488,85,358.62
2013-04-06,"Wien 2013",-8,0,,,,,5.61625,7.36266666666667,3.78255813953488,85,358.62
2013-04-07,"Wien 2013",-7,0,,,,,5.61625,5.92933333333333,3.78255813953488,85,358.62
2013-04-08,"Wien 2013",-6,0,,,,,1.87875,5.236,3.5893023255814,85,358.62
2013-04-09,"Wien 2013",-5,0,,,,,1.87875,4.86933333333333,3.5893023255814,85,358.62
2013-04-10,"Wien 2013",-4,0,,,,,1.87875,4.30866666666667,3.5893023255814,85,358.62
2013-04-11,"Wien 2013",-3,0,,,,,0.85125,3.73533333333333,3.5893023255814,85,358.62
2013-04-12,"Wien 2013",-2,0,,,,,0,2.99533333333333,3.5893023255814,85,358.62
2013-04-13,"Wien 2013",-1,0,,,,,0,2.99533333333333,3.5893023255814,85,358.62
2013-04-14,"Wien 2013",0,42.2,197,4.66824644549763,12.8527918781726,12.8527918781726,5.275,5.80866666666667,4.5706976744186,85,400.82
2013-07-28,"Amsterdam 2013",-84,0,,,,,0,0,0,85,0
2013-07-29,"Amsterdam 2013",-83,12.02,62,5.15806988352745,11.6322580645161,11.6322580645161,6.01,6.01,6.01,85,12.02
2013-07-30,"Amsterdam 2013",-82,6.8,31.33,4.60735294117647,13.0226619853176,12.1346356767079,6.27333333333333,6.27333333333333,6.27333333333333,85,18.82
2013-07-31,"Amsterdam 2013",-81,15.93,73.43,4.60954174513497,13.0164782786327,12.5388875514896,8.6875,8.6875,8.6875,85,34.75
2013-08-01,"Amsterdam 2013",-80,0,,,,,6.95,6.95,6.95,85,34.75
2013-08-02,"Amsterdam 2013",-79,6.86,30.23,4.4067055393586,13.6156136288455,12.7164011513613,6.935,6.935,6.935,85,41.61
2013-08-03,"Amsterdam 2013",-78,0,,,,,5.94428571428571,5.94428571428571,5.94428571428571,85,41.61
2013-08-04,"Amsterdam 2013",-77,0,,,,,5.20125,5.20125,5.20125,85,41.61
2013-08-05,"Amsterdam 2013",-76,13.58,61.55,4.53240058910162,13.2380178716491,12.844749675759,6.89875,6.13222222222222,6.13222222222222,85,55.19
2013-08-06,"Amsterdam 2013",-75,6.71,30.83,4.5946348733234,13.058709049627,12.8679430101476,6.235,6.19,6.19,85,61.9
2013-08-07,"Amsterdam 2013",-74,0,,,,,5.385,5.62727272727273,5.62727272727273,85,61.9
2013-08-08,"Amsterdam 2013",-73,6.78,31.2,4.60176991150442,13.0384615384615,12.8847763768041,4.24125,5.72333333333333,5.72333333333333,85,68.68
2013-08-09,"Amsterdam 2013",-72,0,,,,,4.24125,5.28307692307692,5.28307692307692,85,68.68
2013-08-10,"Amsterdam 2013",-71,0,,,,,3.38375,4.90571428571429,4.90571428571429,85,68.68
2013-08-11,"Amsterdam 2013",-70,16,76.28,4.7675,12.5852123754588,12.8281747705036,5.38375,5.64533333333333,5.64533333333333,85,84.68
2013-08-12,"Amsterdam 2013",-69,6.8,31.28,4.6,13.0434782608696,13.0275075485109,6.23375,6.09866666666667,5.7175,85,91.48
2013-08-13,"Amsterdam 2013",-68,6.8,31.85,4.68382352941177,12.8100470957614,13.0093124660923,5.38625,5.75066666666667,5.78117647058824,85,98.28
2013-08-14,"Amsterdam 2013",-67,6.8,30.67,4.51029411764706,13.3029018584936,13.0360756748874,5.3975,5.75066666666667,5.83777777777778,85,105.08
2013-08-15,"Amsterdam 2013",-66,8.3,37.4,4.50602409638554,13.3155080213904,13.0129972035459,6.435,5.242,5.96736842105263,85,113.38
2013-08-16,"Amsterdam 2013",-65,8.3,37.68,4.53975903614458,13.2165605095541,12.9924496740983,6.625,5.79533333333333,6.084,85,121.68
2013-08-17,"Amsterdam 2013",-64,14.2,71,5,12,12.7959454056204,8.4,6.28466666666667,6.47047619047619,85,135.88
2013-08-18,"Amsterdam 2013",-63,0,,,,,8.4,6.28466666666667,6.17636363636364,85,135.88
2013-08-19,"Amsterdam 2013",-62,6.78,29.97,4.42035398230088,13.5735735735736,12.8449864923744,7.2475,6.73666666666667,6.20260869565217,85,142.66
2013-08-20,"Amsterdam 2013",-61,13.67,62.25,4.55376737381127,13.1759036144578,12.9661312645939,8.10625,6.74266666666667,6.51375,85,156.33
2013-08-21,"Amsterdam 2013",-60,8.34,40.85,4.89808153477218,12.249694002448,12.8773070216513,8.29875,6.85133333333333,6.5868,85,164.67
2013-08-22,"Amsterdam 2013",-59,0,,,,,7.44875,6.85133333333333,6.33346153846154,85,164.67
2013-08-23,"Amsterdam 2013",-58,0,,,,,6.41125,6.39933333333333,6.09888888888889,85,164.67
2013-08-24,"Amsterdam 2013",-57,0,,,,,5.37375,6.39933333333333,5.88107142857143,85,164.67
2013-08-25,"Amsterdam 2013",-56,0,,,,,3.59875,6.39933333333333,5.67827586206897,85,164.67
2013-08-26,"Amsterdam 2013",-55,8.3,39.08,4.70843373493976,12.7430910951894,12.8685156882254,4.63625,5.886,5.76566666666667,85,172.97
2013-08-27,"Amsterdam 2013",-54,12.71,56.35,4.43351691581432,13.5332741792369,12.9366950239937,5.3775,6.28,5.98967741935484,85,185.68
2013-08-28,"Amsterdam 2013",-53,6.74,32.68,4.8486646884273,12.374541003672,12.8489791083136,4.51125,6.276,6.013125,85,192.42
2013-08-29,"Amsterdam 2013",-52,0,,,,,3.46875,5.82266666666667,5.83090909090909,85,192.42
2013-08-30,"Amsterdam 2013",-51,6.8,32.33,4.75441176470588,12.6198577172904,12.7895394502113,4.31875,5.72266666666667,5.85941176470588,85,199.22
2013-08-31,"Amsterdam 2013",-50,9.62,49,5.09355509355509,11.7795918367347,12.8100406036015,5.52125,5.81066666666667,5.96685714285714,85,208.84
2013-09-01,"Amsterdam 2013",-49,6.53,33.08,5.06584992343032,11.8440145102781,12.6520856603226,6.3375,5.29933333333333,5.9825,85,215.37
2013-09-02,"Amsterdam 2013",-48,12.45,59,4.73895582329317,12.6610169491525,12.5534789057122,7.89375,6.12933333333333,6.1572972972973,85,227.82
2013-09-03,"Amsterdam 2013",-47,13.05,62.45,4.78544061302682,12.5380304243395,12.5840821000864,8.4875,6.54733333333333,6.33868421052632,85,240.87
2013-09-04,"Amsterdam 2013",-46,12.12,58.37,4.81600660066007,12.4584546856262,12.5485612437678,8.41375,6.444,6.48692307692308,85,252.99
2013-09-05,"Amsterdam 2013",-45,13.47,61.17,4.54120267260579,13.2123589995096,12.5043133403267,9.255,6.786,6.6615,85,266.46
2013-09-06,"Amsterdam 2013",-44,0,,,,,9.255,6.786,6.4990243902439,85,266.46
2013-09-07,"Amsterdam 2013",-43,0,,,,,8.405,6.786,6.34428571428571,85,266.46
2013-09-08,"Amsterdam 2013",-42,0,,,,,7.2025,6.786,6.19674418604651,85,266.46
2013-09-09,"Amsterdam 2013",-41,8,36,4.5,13.3333333333333,12.5958153575513,7.38625,7.31933333333333,6.38279069767442,85,274.46
2013-09-10,"Amsterdam 2013",-40,13.96,63.18,4.52578796561605,13.2573599240266,12.6975157398581,7.575,7.69666666666667,6.42790697674419,85,288.42
2013-09-11,"Amsterdam 2013",-39,0,,,,,5.94375,6.84933333333333,6.26976744186047,85,288.42
2013-09-12,"Amsterdam 2013",-38,0,,,,,4.42875,6.4,5.8993023255814,85,288.42
2013-09-13,"Amsterdam 2013",-37,0,,,,,2.745,6.4,5.8993023255814,85,288.42
2013-09-14,"Amsterdam 2013",-36,23.48,116.12,4.94548551959114,12.1322769548743,12.6544206620066,5.68,7.512,6.28581395348837,85,311.9
2013-09-15,"Amsterdam 2013",-35,0,,,,,5.68,6.87066666666667,6.28581395348837,85,311.9
2013-09-16,"Amsterdam 2013",-34,8.43,39.9,4.73309608540925,12.6766917293233,12.7066281436022,6.73375,6.99733333333333,6.48186046511628,85,320.33
2013-09-17,"Amsterdam 2013",-33,0,,,,,5.73375,6.16733333333333,6.16604651162791,85,320.33
2013-09-18,"Amsterdam 2013",-32,0,,,,,3.98875,5.29733333333333,6.01,85,320.33
2013-09-19,"Amsterdam 2013",-31,0,,,,,3.98875,4.48933333333333,6.01,85,320.33
2013-09-20,"Amsterdam 2013",-30,0,,,,,3.98875,3.59133333333333,5.85232558139535,85,320.33
2013-09-21,"Amsterdam 2013",-29,0,,,,,3.98875,3.59133333333333,5.85232558139535,85,320.33
